time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-25T12:38:15.960Z,38.6698333,-119.6036667,5.453,2.56,md,25,210,0.727,0.04,nc,nc30210975,2016-12-29T14:29:24.645Z,"Northern California",earthquake,0.6,2.41,0.1,19,reviewed,nc,nc
1998-12-25T10:12:41.250Z,35.8213333,-121.2803333,10.667,2.5,md,56,168,0.1027,0.07,nc,nc30210932,2016-12-29T14:28:46.140Z,"Central California",earthquake,0.16,0.32,0.11,78,reviewed,nc,nc
1998-12-25T07:27:33.340Z,34.305,-116.85,3.41,2.82,ml,0,27.6,,0.13,ci,ci9074345,2016-02-12T14:46:01.121Z,"5km N of Big Bear City, California",earthquake,,0.229,,146,reviewed,ci,ci
1998-12-25T06:56:32.270Z,36.093,-118.384,9.922,3.27,ml,0,67,,0.205,ci,ci9074364,2016-02-13T08:33:15.510Z,"38km N of Kernville, California",earthquake,,0.738,,128,reviewed,ci,ci
1998-12-25T06:49:27.860Z,38.6796667,-119.6005,6.77,3.73,md,76,186,0.736,0.07,nc,nc30210920,2016-12-29T14:28:02.300Z,"Northern California",earthquake,0.29,0.71,0.06,90,reviewed,nc,nc
1998-12-25T05:20:38.240Z,37.169,-119.47,4.573,2.82,mc,0,173.5,,0.148,ci,ci9074333,2016-02-13T08:33:13.932Z,"10km N of Auberry, California",earthquake,,,,3,reviewed,ci,ci
1998-12-25T05:19:51.600Z,38.791,-122.7705,4.291,3.96,ml,59,32,0.02523,0.06,nc,nc30210914,2016-12-29T14:27:31.710Z,"Northern California",earthquake,0.11,0.27,,13,reviewed,nc,nc
1998-12-25T03:43:57.170Z,41.2643333,-123.3988333,37.941,3.59,md,49,58,0.04324,0.14,nc,nc30210899,2016-12-29T14:27:12.490Z,"Northern California",earthquake,0.21,0.3,0.09,53,reviewed,nc,nc
1998-12-25T01:00:48.710Z,38.857,-122.8228333,1.076,2.57,md,19,52,0.03514,0.05,nc,nc40084266,2016-12-29T14:26:43.229Z,"Northern California",earthquake,0.21,0.58,0.21,17,reviewed,nc,nc
1998-12-24T23:43:03.310Z,36.085,-117.599,-0.773,2.52,ml,0,171.7,0.09592,0.18,ci,ci9074318,2016-02-12T12:04:35.646Z,"32km E of Coso Junction, California",earthquake,,0.46,,42,reviewed,ci,ci
1998-12-24T19:16:47.750Z,31.773,-116.698,5.471,2.6,mc,0,300,0.9047,0.113,ci,ci9074312,2016-02-12T02:16:27.278Z,"13km SW of Ensenada, B.C., MX",earthquake,,,,12,reviewed,ci,ci
